id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4492260857169330,ICI7Pu54m,#西安交大落樱铺满樱花大道# 你们是否见过这样的樱花大道？今年的樱花大道少了赶去上课的学子和熙熙攘攘的游客，却依然缤纷绽放。一场春雨过后，樱花铺满大道，美若仙境。#为中国最美校园打call# @微博校园 (图:I拍交大@西安交通大学网信中心  ) ,"https://wx4.sinaimg.cn/large/6f0a090dgy1gdoxrzvhnkj23402c0x6t.jpg,https://wx4.sinaimg.cn/large/6f0a090dgy1gdoxrv4l5xj20m80goaca.jpg,https://wx2.sinaimg.cn/large/6f0a090dgy1gdoxs22a76j22c0340u11.jpg,https://wx2.sinaimg.cn/large/6f0a090dgy1gdoxruphzhj20u0108gup.jpg,https://wx4.sinaimg.cn/large/6f0a090dgy1gdoxrx08wqj24xa308u11.jpg,https://wx1.sinaimg.cn/large/6f0a090dgy1gdoxs5fgp9j24632s21l9.jpg,https://wx2.sinaimg.cn/large/6f0a090dgy1gdoxs7ya68j22c0340b2c.jpg,https://wx1.sinaimg.cn/large/6f0a090dgy1gdoxrxx3ifj20m80goacp.jpg,https://wx4.sinaimg.cn/large/6f0a090dgy1gdoxsaj1e1j23402c0x6t.jpg",,,2020-04-10,,3264,340,804,"西安交大落樱铺满樱花大道,为中国最美校园打call","微博校园,西安交通大学网信中心"
4492251369567265,ICHSwE8SJ,#为中国最美校园打call# 我怎么这么好看#西安交大落樱铺满樱花大道#@微博校园 （西部网）西部网的微博视频 ,,"http://f.video.weibocdn.com/VPlZbxa6lx07CnVPusg0010412003riS0E010.mp4?label=mp4_hd&template=368x640.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586971563&ssig=IS3PMtKzDs&KID=unistore,video",,2020-04-10,,2069,190,206,"为中国最美校园打call,西安交大落樱铺满樱花大道",微博校园
4492246013710215,ICHJTfzcb,#交大新闻# 【心理咨询中心举办“抗疫安心”系列心理健康讲座】近日，由学生处大学生心理健康教育与咨询中心举办的“抗疫安心”系列心理健康讲座顺利结束。本次系列活动全部采用线上直播方式进行，共包含5次专题讲座，分别由咨询中心教师姚斌、李红燕、闫琼、康楠主讲。 ,"https://wx1.sinaimg.cn/large/6f0a090dly1gdowftybftj20jq0b3790.jpg,https://wx1.sinaimg.cn/large/6f0a090dly1gdowftqorlj20se0hl48q.jpg,https://wx4.sinaimg.cn/large/6f0a090dly1gdowfu42suj20q00hjwkn.jpg,https://wx1.sinaimg.cn/large/6f0a090dly1gdowfubnd4j20sc0g7djp.jpg",,,2020-04-10,狐狸のiPhone,10,2,1,交大新闻,
4492203169135676,ICGCMCkBC,#沙坡村干货# 常用的10个电脑小技巧，码起来哦（via实用干货）  ,"https://wx1.sinaimg.cn/large/6f0a090dgy1gdoricv0m9j20gf0qatbe.jpg,https://wx2.sinaimg.cn/large/6f0a090dgy1gdoridgc7lj20gg0ggabp.jpg,https://wx3.sinaimg.cn/large/6f0a090dgy1gdoridw5ysj20gf0ryjub.jpg,https://wx1.sinaimg.cn/large/6f0a090dgy1gdoriep811j20gf0ggdhn.jpg,https://wx4.sinaimg.cn/large/6f0a090dgy1gdorif9ybkj20af0afdfv.jpg,https://wx3.sinaimg.cn/large/6f0a090dgy1gdorifpn0fj20gf0gfdhn.jpg,https://wx3.sinaimg.cn/large/6f0a090dgy1gdorig89c3j20gf0gfabu.jpg,https://wx3.sinaimg.cn/large/6f0a090dgy1gdorigt745j20gf0gfq4t.jpg,https://wx1.sinaimg.cn/large/6f0a090dgy1gdoric7rv4j20gf0gfwgh.jpg",,,2020-04-10,柯柯的iPhone XS,45,4,19,沙坡村干货,
4492166736447270,ICFG1r3ee,#i拍交大# 不错过春天，也不错过你。#西安交大落樱铺满樱花大道# 视频/@filmkiller 西安交通大学的微博视频 ,,"http://f.video.weibocdn.com/3tyaIUx8lx07CnZY3JSE01041200dAta0E010.mp4?label=mp4_hd&template=836x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586971563&ssig=dep8xkkfHq&KID=unistore,video",,2020-04-10,柯柯的iPhone XS,115,9,7,"i拍交大,西安交大落樱铺满樱花大道",filmkiller
4492117939943586,ICEpjFIMq,#有事先知道# 【四所交大为湖北籍毕业生及抗疫人员子女开启网上专场招聘】四所交通大学湖北籍毕业生及抗疫人员子女专场空中双选会邀请函。 ,https://wx3.sinaimg.cn/large/6f0a090dly1gdohpqqp34j20v98czqv6.jpg,,,2020-04-10,狐狸のiPhone,31,4,0,有事先知道,
4492105919135740,ICE5VCkCE,#微风梧桐# 生命太过短暂，今天放弃了明天不一定能得到。图源网络 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdogbulme2j21c00u0npd.jpg,,,2020-04-10,狐狸のiPhone,52,4,6,微风梧桐,
4491937761890461,ICzII7VNj,#晚安仙交#         一声惊雷，打破了昨日的幻想，冒着风雨望去，才发现春色已深，旧梦已醒。晚安 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdnwxq2p0qj20qo0euweo.jpg,,,2020-04-09,迷醉长安的Android,78,12,11,晚安仙交,
4491913375792050,ICz5noiMa,#思源夜话# 你最念念不忘的小说主人公/影视角色______ ,https://wx1.sinaimg.cn/large/6f0a090dly1gdnu8hbp5hj20c80bmjro.jpg,,,2020-04-09,屏碎了的Android,161,101,4,思源夜话,
4491900604107188,ICyKMhesY,#交大音夜巴##蔡徐坤新歌#「爱 希望与爱 从未离开    阳光终将会驱散阴霾    别怕孤单，家一直在」Home蔡徐坤央视新闻的微博视频 ,,"http://f.video.weibocdn.com/oXrFm5p5lx07CmfGJ0yY01041200KUMm0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1586971563&ssig=VXulXpeJkT&KID=unistore,video",,2020-04-09,巴洛克先生Android,65,13,9,"交大音夜巴,蔡徐坤新歌",
4491864462167999,ICxOu95ZJ,#高校学堂计划##交大阅读亭# 和小童一起学英语：你知道英文中的的“shorthand”是什么意思吗？（正确答案见评论区～小伙伴们先凭感觉选然后再在评论区报到，知识点用小本本记下来哦 西安交通大学的微博投票 ,,,,2020-04-09,巴洛克先生Android,909,6,1,"高校学堂计划,交大阅读亭",
4491854885756168,ICxz2o9rq,#交大新闻# 【西安交通大学本科生“力行”发展基金】那些年，梧桐道上的路灯照亮了你的求学路，今天让你成为路灯照亮学弟学妹的求学路～ ,https://wx2.sinaimg.cn/large/6f0a090dly1gdnnimufanj20f09i8u0x.jpg,,,2020-04-09,屏碎了的Android,20,1,2,交大新闻,
